LocaleNewUserTitle = Dil Seçici
LocaleExistingUserTitle_One = Yeni Dil Eklendi!
LocaleExistingUserTitle_Many = Yeni Diller Eklendi!
MessageA = Empires & Allies'ın pek çok farklı dilde oynanabildiğini biliyor muydunuz?
MessageB_One = Merhaba! Empires & Allies'ın artık şu dili desteklediğini duyurmaktan heyecan duyuyoruz:
MessageB_Many = Merhaba! Empires & Allies'ın artık şu dilleri desteklediğini duyurmaktan heyecan duyuyoruz:
HowToChange = Oyunun dilini ekranın sağ üst köşesindeki açılır menüden (dünya simgesi) değiştirebilirsiniz.
ButtonClose = Kapat
ButtonShowMe = Göster
en = İngilizce
es = İspanyolca
fr = Fransızca
de = Almanca
it = İtalyanca
nb = Norveççe
pt = Portekizce
zh = Çince
ko = Korece
id = Endonezce
ms = Malayca
tr = Türkçe
ja = Japonca
